,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Jiaojiang,28.68,121.44,73.0,73,84,9.06,CN,1598894576
1,Punta Arenas,-53.15,-70.92,44.6,65,40,19.46,CL,1598894577
2,Cayenne,4.93,-52.33,89.6,59,75,8.05,GF,1598894577
3,Busselton,-33.65,115.33,54.0,98,84,19.26,AU,1598894053
4,Honiara,-9.43,159.95,79.07,80,31,6.62,SB,1598894124
5,Lufilufi,-13.87,-171.6,77.0,100,75,4.7,WS,1598894578
6,Barrow,71.29,-156.79,37.4,86,90,21.92,US,1598893937
7,Bluff,-46.6,168.33,42.13,69,86,14.43,NZ,1598894579
8,Kysyl-Syr,63.9,122.76,50.65,88,100,2.35,RU,1598894579
9,Ushuaia,-54.8,-68.3,35.6,80,40,26.4,AR,1598894462
10,Örnsköldsvik,63.29,18.72,57.2,71,24,3.36,SE,1598894580
11,Ribeira Grande,38.52,-28.7,80.6,51,20,19.46,PT,1598894072
12,Saint Paul Harbor,57.79,-152.41,53.89,81,22,12.3,US,1598894283
13,Kavaratti,10.57,72.64,82.18,80,76,12.55,IN,1598894581
14,Taltal,-25.4,-70.48,59.56,65,97,5.39,CL,1598894327
15,Castro,-24.79,-50.01,74.95,59,10,8.28,BR,1598894368
16,Hobart,-42.88,147.33,39.0,86,9,8.05,AU,1598894439
17,Cidreira,-30.18,-50.21,58.12,61,99,9.48,BR,1598894582
18,Mataura,-46.19,168.86,36.59,94,100,3.04,NZ,1598894583
19,Saskylakh,71.92,114.08,48.52,71,91,7.85,RU,1598894583
20,Presidencia Roque Sáenz Peña,-26.79,-60.44,66.67,35,97,7.76,AR,1598894583
21,Rikitea,-23.12,-134.97,69.58,83,95,13.18,PF,1598894584
22,Egvekinot,66.32,-179.17,33.98,89,62,10.98,RU,1598894585
23,Umm Kaddadah,13.6,26.69,89.6,38,55,4.79,SD,1598894585
24,Albany,42.6,-73.97,73.99,49,70,4.16,US,1598894390
25,Vao,-22.67,167.48,68.23,65,41,10.63,NC,1598894051
26,Eyl,7.98,49.82,79.3,72,5,26.06,SO,1598894586
27,Shaoyang,27.23,111.45,74.32,83,0,2.71,CN,1598894586
28,Bethel,41.37,-73.41,72.0,53,20,6.93,US,1598894587
29,Codrington,-38.27,141.97,38.71,83,68,7.81,AU,1598894587
30,Thessalon,46.25,-83.57,68.0,68,40,11.41,CA,1598894587
31,Batticaloa,7.71,81.69,82.76,75,90,2.98,LK,1598894588
32,Narsaq,60.92,-46.05,51.8,66,20,4.7,GL,1598894588
33,Walvis Bay,-22.96,14.51,62.6,51,0,11.41,NA,1598894589
34,Dingle,11.0,122.67,75.31,81,100,3.44,PH,1598894589
35,Hilo,19.73,-155.09,72.0,78,1,5.82,US,1598894589
36,Vardø,70.37,31.11,48.2,81,91,12.75,NO,1598894590
37,Saint-Philippe,-21.36,55.77,69.8,77,40,6.93,RE,1598894590
38,Coquimbo,-29.95,-71.34,55.4,66,90,5.82,CL,1598894591
39,Tūkrah,32.53,20.58,79.48,69,0,11.86,LY,1598894591
40,Arraial do Cabo,-22.97,-42.03,77.0,78,39,17.22,BR,1598894573
41,Atuona,-9.8,-139.03,78.49,79,21,28.81,PF,1598894592
42,Kuching,1.55,110.33,78.8,94,40,2.24,MY,1598894592
43,Vestmannaeyjar,63.44,-20.27,53.6,93,75,14.99,IS,1598894592
44,East London,-33.02,27.91,59.0,51,5,10.29,ZA,1598894593
45,Haines Junction,60.75,-137.51,51.6,70,72,8.46,CA,1598894593
46,Vaini,-21.2,-175.2,75.2,94,90,10.29,TO,1598894594
47,San Antonio,29.42,-98.49,93.99,59,40,13.87,US,1598894508
48,Jalu,29.03,21.55,94.05,16,0,10.67,LY,1598894594
49,Fairbanks,64.84,-147.72,54.0,81,90,4.7,US,1598894403
